#category: meat
#source: USDA FoodData Central (SR Legacy)
#servings: 4 oz (113 g)@113*;6 oz (170 g)@170;3 oz (85 g)@85;1 oz (28 g)@28
# Beef, pork, lamb, game and processed meats.
# RAW vs COOKED matters enormously here — cooking drives off ~25% water and
# concentrates protein and fat per 100 g. Both states are listed for staples.
# id|name|aliases|kcal|protein|carbs|fat|fiber|sugar|satfat|sodium|servings|extra

# --- ground beef ---------------------------------------------------------
beef-ground-70-30-raw|Ground beef, 70% lean, raw|hamburger meat;mince|332|14.4|0|30.0|0|0|11.5|67|
beef-ground-80-20-raw|Ground beef, 80% lean, raw|hamburger meat;mince;ground chuck|254|17.2|0|20.0|0|0|7.7|66|
beef-ground-80-20-cooked|Ground beef, 80% lean, pan-browned|browned ground beef|254|25.8|0|16.0|0|0|6.2|76|3 oz (85 g)@85*;4 oz (113 g)@113;1 cup crumbles@110
beef-ground-85-15-raw|Ground beef, 85% lean, raw|ground sirloin|215|18.6|0|15.0|0|0|5.9|66|
beef-ground-85-15-cooked|Ground beef, 85% lean, pan-browned||231|25.9|0|13.4|0|0|5.2|78|3 oz (85 g)@85*;4 oz (113 g)@113;1 cup crumbles@110
beef-ground-90-10-raw|Ground beef, 90% lean, raw||176|20.0|0|10.0|0|0|4.0|66|
beef-ground-90-10-cooked|Ground beef, 90% lean, pan-browned||217|26.1|0|11.6|0|0|4.5|78|3 oz (85 g)@85*;4 oz (113 g)@113;1 cup crumbles@110
beef-ground-93-7-raw|Ground beef, 93% lean, raw||152|21.4|0|7.0|0|0|2.9|66|
beef-ground-93-7-cooked|Ground beef, 93% lean, pan-browned||182|25.7|0|8.2|0|0|3.3|78|3 oz (85 g)@85*;4 oz (113 g)@113;1 cup crumbles@110
beef-ground-96-4-raw|Ground beef, 96% lean, raw|extra lean ground beef|130|21.6|0|4.0|0|0|1.8|66|
beef-ground-96-4-cooked|Ground beef, 96% lean, pan-browned||153|26.5|0|4.6|0|0|2.0|78|3 oz (85 g)@85*;4 oz (113 g)@113
beef-patty-quarter-cooked|Beef burger patty, 1/4 lb, grilled|hamburger patty|248|25.6|0|15.6|0|0|6.1|75|1 patty (85 g)@85*;1 patty, 1/3 lb (113 g)@113

# --- beef steaks & roasts ------------------------------------------------
beef-sirloin-raw|Beef top sirloin steak, trimmed, raw||130|22.5|0|3.9|0|0|1.5|55|
beef-sirloin-cooked|Beef top sirloin steak, trimmed, broiled|sirloin steak|201|29.5|0|8.4|0|0|3.3|55|
beef-tenderloin-cooked|Beef tenderloin, trimmed, broiled|filet mignon|208|28.9|0|9.4|0|0|3.6|54|
beef-strip-steak-cooked|Beef strip steak, trimmed, broiled|new york strip;ny strip|205|28.6|0|9.2|0|0|3.6|56|
beef-ribeye-raw|Beef ribeye steak, raw|rib eye|214|20.0|0|14.4|0|0|5.9|54|
beef-ribeye-cooked|Beef ribeye steak, broiled|rib eye|271|24.8|0|18.6|0|0|7.6|58|
beef-flank-cooked|Beef flank steak, broiled||201|27.9|0|9.0|0|0|3.7|58|
beef-skirt-cooked|Beef skirt steak, broiled|fajita meat|207|27.0|0|10.4|0|0|4.2|65|
beef-flat-iron-cooked|Beef flat iron steak, broiled|top blade steak|213|27.0|0|11.0|0|0|4.4|60|
beef-t-bone-cooked|Beef T-bone steak, trimmed, broiled||247|24.5|0|15.8|0|0|6.2|59|
beef-chuck-roast-cooked|Beef chuck roast, braised||250|30.0|0|13.5|0|0|5.3|56|
beef-brisket-cooked|Beef brisket, flat half, trimmed, braised||208|28.7|0|9.4|0|0|3.4|61|
beef-brisket-smoked|Beef brisket, smoked, fatty|bbq brisket|290|26.0|0|20.5|0|0|8.0|420||v=0;src=author estimate from typical BBQ brisket
